abv,ibu,id,name,style,brewery_id,ounces,brewery_idbrewery_,namebrewery_,city,state
0.051,36,1182,Elliott's Phoned Home Pale Ale,American Pale Ale (APA),29,16,29,Cedar Creek Brewery,Seven Points, TX
0.05,18,1050,The Lawn Ranger,Cream Ale,29,16,29,Cedar Creek Brewery,Seven Points, TX
0.05,40,2377,Main St. Virginia Ale,Altbier,122,12,122,Center of the Universe Brewing C...,Ashland, VA
0.045,24,1839,Chin Music Amber Lager,American Amber / Red Lager,122,12,122,Center of the Universe Brewing C...,Ashland, VA
0.05,40,1248,Main St. Virginia Ale,Altbier,122,12,122,Center of the Universe Brewing C...,Ashland, VA
0.052,42,1247,Ray Ray’s Pale Ale,American Pale Ale (APA),122,12,122,Center of the Universe Brewing C...,Ashland, VA
0.051,15,1649,Chai Ale,Herbed / Spiced Beer,350,16,350,Central Coast Brewing Company,San Luis Obispo, CA
0.072,85,1648,Lucky Day IPA,American IPA,350,16,350,Central Coast Brewing Company,San Luis Obispo, CA
0.095,99,1647,Terrace Hill Double IPA,American Double / Imperial IPA,350,16,350,Central Coast Brewing Company,San Luis Obispo, CA
0.075,77,1646,Catch 23,American Black Ale,350,16,350,Central Coast Brewing Company,San Luis Obispo, CA
0.06,45,2056,Black Me Stout,American Stout,236,12,236,Champion Brewing Company,Charlottesville, VA
0.05,22,2055,Killer Kolsch,Kölsch,236,12,236,Champion Brewing Company,Charlottesville, VA
0.07,65,1933,Missile IPA,American IPA,236,12,236,Champion Brewing Company,Charlottesville, VA
0.065,8,2018,Ale Cider,Fruit / Vegetable Beer,250,16,250,Chapman's Brewing,Angola, IN
0.055,30,2017,Pail Ale,American Pale Ale (APA),250,16,250,Chapman's Brewing,Angola, IN
