abv,ibu,id,name,style,brewery_id,ounces,brewery_idbrewery_,namebrewery_,city,state
0.063,69,107,Avery India Pale Ale,American IPA,37,12,37,Avery Brewing Company,Boulder, CO
0.055,17,106,Ellie’s Brown Ale,American Brown Ale,37,12,37,Avery Brewing Company,Boulder, CO
0.062,17,1620,Pumpkin Beast,Pumpkin Ale,360,12,360,Aviator Brewing Company,Fuquay-Varina, NC
0.072,22,1579,OktoberBeast,Märzen / Oktoberfest,360,12,360,Aviator Brewing Company,Fuquay-Varina, NC
0.048,23,1228,Mad Beach,American Pale Wheat Ale,360,12,360,Aviator Brewing Company,Fuquay-Varina, NC
0.092,5,704,Devils Tramping Ground Tripel,Tripel,360,12,360,Aviator Brewing Company,Fuquay-Varina, NC
0.061,41,702,Hot Rod Red,American Amber / Red Ale,360,12,360,Aviator Brewing Company,Fuquay-Varina, NC
0.06,43,1875,Naked Pig Pale Ale,American Pale Ale (APA),286,12,286,Back Forty Beer Company,Gadsden, AL
0.068,70,966,Topcutter India Pale Ale,American IPA,483,12,483,Bale Breaker Brewing Company,Yakima, WA
0.044,38,965,Field 41 Pale Ale,American Pale Ale (APA),483,12,483,Bale Breaker Brewing Company,Yakima, WA
0.038,40,2105,Even Keel,American IPA,34,12,34,Ballast Point Brewing Company,San Diego, CA
0.052,23,1401,Ballast Point Pale Ale,Kölsch,34,12,34,Ballast Point Brewing Company,San Diego, CA
0.07,75,1400,Big Eye India Pale Ale,American IPA,34,12,34,Ballast Point Brewing Company,San Diego, CA
0.07,70,1018,Sculpin IPA,American IPA,34,12,34,Ballast Point Brewing Company,San Diego, CA
0.045,20,1644,Banner American Rye,Rye Beer,318,12,318,Banner Beer Company,Williamsburg, MA
0.035,45,1643,Banner American Ale,American Amber / Red Ale,318,12,318,Banner Beer Company,Williamsburg, MA
0.07,46,2618,Thai.p.a,American IPA,20,16,20,Bare Hands Brewery,Granger, IN
0.06,60,2005,Barrio Blanco,American IPA,251,12,251,Barrio Brewing Company,Tucson, AZ
0.049,22,2404,Hop in the ‘Pool Helles,American Pilsner,116,12,116,Base Camp Brewing Co.,Portland, OR
0.067,60,2323,Ultra Gnar Gnar IPA,American IPA,116,12,116,Base Camp Brewing Co.,Portland, OR
0.068,62,2189,In-Tents India Pale Lager,American Pale Lager,116,12,116,Base Camp Brewing Co.,Portland, OR
